gene	KO_1_NonTreatment	KO_2_NonTreatment	KO_3_NonTreatment	KO_4_CytokineTreatment	KO_5_CytokineTreatment	KO_6_CytokineTreatment	WT_1_NonTreatment	WT_2_NonTreatment	WT_3_NonTreatment	WT_4_CytokineTreatment	WT_5_CytokineTreatment	WT_6_CytokineTreatment
4933401J01Rik_ENSMUSG00000102693	0	0	0	0	0	0	0	0	0	0	0	0
Gm26206_ENSMUSG00000064842	0	0	0	0	0	0	0	0	0	0	0	0
Xkr4_ENSMUSG00000051951	484	562	504	510	431	530	437	295	450	628	1222	575
Gm18956_ENSMUSG00000102851	0	0	0	0	0	0	0	0	0	0	0	0
Gm37180_ENSMUSG00000103377	0	1	1	1	2	3	1	0	0	0	4	0
Gm37363_ENSMUSG00000104017	0	0	0	0	0	0	0	0	1	0	2	1
Gm37686_ENSMUSG00000103025	0	0	0	0	1	1	0	0	0	0	5	0
Gm1992_ENSMUSG00000089699	11	6	13	7	5	5	0	8	4	1	7	3
Gm37329_ENSMUSG00000103201	0	0	0	0	1	3	0	0	0	0	1	0
Gm7341_ENSMUSG00000103147	0	0	0	0	0	0	0	0	2	0	2	1
Gm38148_ENSMUSG00000103161	0	0	0	0	1	0	0	0	0	1	0	0
Gm19938_ENSMUSG00000102331	2	12	19	27	31	20	10	12	8	29	33	14
Gm10568_ENSMUSG00000102348	0	1	0	1	1	2	0	0	0	1	2	0
Gm38385_ENSMUSG00000102592	0	0	0	0	0	0	0	0	0	0	0	0
Gm27396_ENSMUSG00000088333	0	0	0	0	0	0	0	0	0	0	0	0
Gm37381_ENSMUSG00000102343	0	0	0	0	0	0	0	0	0	0	0	0
Rp1_ENSMUSG00000025900	7	0	0	0	0	0	0	1	0	0	1	0
Gm6101_ENSMUSG00000102948	0	0	0	0	0	0	0	0	0	0	1	0
Gm37483_ENSMUSG00000104123	0	0	0	0	0	0	0	0	0	0	0	0
Sox17_ENSMUSG00000025902	605	633	591	45	77	85	403	718	903	65	112	76
Gm37587_ENSMUSG00000104238	0	0	1	0	0	0	2	0	2	0	0	0
Gm7357_ENSMUSG00000102269	1	1	3	0	2	2	2	2	2	1	3	3
Gm22307_ENSMUSG00000096126	0	0	3	0	0	1	0	1	0	4	0	0
Gm38076_ENSMUSG00000103003	0	0	0	0	0	0	0	4	0	0	0	0
Gm37323_ENSMUSG00000104328	0	4	2	1	0	2	2	1	2	0	0	2
Gm7369_ENSMUSG00000102735	0	1	0	0	0	0	0	0	0	0	1	0
Gm6085_ENSMUSG00000098104	41	22	29	29	30	27	36	25	55	20	83	21
Gm6119_ENSMUSG00000102175	6	0	0	0	2	1	0	1	1	0	0	2
Gm25493_ENSMUSG00000088000	0	0	0	0	0	0	0	0	0	0	0	0
Gm2053_ENSMUSG00000103265	0	1	0	0	0	0	0	0	0	0	1	0
Gm6123_ENSMUSG00000103922	11	12	9	10	12	10	13	15	12	16	18	9
Mrpl15_ENSMUSG00000033845	1568	1465	1641	1282	1780	1396	1385	1369	2025	1936	2909	1325
Gm37144_ENSMUSG00000102275	8	13	16	9	10	5	14	14	10	5	21	12
Lypla1_ENSMUSG00000025903	955	1644	1669	813	1302	945	1624	1401	2104	1271	1811	858
Gm37988_ENSMUSG00000104217	0	0	0	0	0	0	0	0	0	0	0	0
Tcea1_ENSMUSG00000033813	3159	3445	3421	4608	4802	4205	3437	2944	4236	6343	11109	5090
Gm6104_ENSMUSG00000062588	3	9	5	1	10	3	8	5	11	3	7	0
Gm37277_ENSMUSG00000103280	29	21	23	10	8	9	3	12	8	12	20	5
Rgs20_ENSMUSG00000002459	81	90	95	100	98	110	84	71	88	116	200	93
Gm17100_ENSMUSG00000091305	0	0	0	0	0	0	1	0	0	0	0	0
Gm37079_ENSMUSG00000102653	0	0	0	0	0	1	0	0	0	0	0	0
Gm16041_ENSMUSG00000085623	1	0	2	0	0	1	0	2	1	0	2	0
Gm17101_ENSMUSG00000091665	0	0	1	0	0	0	0	0	0	0	0	0
Atp6v1h_ENSMUSG00000033793	5612	6037	6492	6421	6131	6306	6070	5296	7345	8630	15333	6875
Gm7182_ENSMUSG00000104352	0	0	0	0	0	0	0	0	0	0	0	0
Gm37567_ENSMUSG00000104046	0	0	0	0	0	0	0	0	0	0	0	0
Gm38264_ENSMUSG00000102907	0	0	0	0	0	0	0	0	0	0	0	0
Oprk1_ENSMUSG00000025905	0	0	0	0	0	0	0	0	0	0	0	0
Gm36965_ENSMUSG00000103936	0	0	0	0	0	0	0	0	0	0	0	0
Gm22463_ENSMUSG00000093015	0	0	0	0	0	0	0	0	0	0	0	0
Gm37429_ENSMUSG00000103519	0	0	0	0	0	0	0	0	0	0	0	0
Npbwr1_ENSMUSG00000033774	0	0	0	8	8	11	0	0	3	25	42	10
Gm19214_ENSMUSG00000103090	0	0	0	0	0	0	0	0	0	0	0	0
Rb1cc1_ENSMUSG00000025907	3576	4225	3950	1898	2864	1906	4123	3333	5097	2907	4143	2281
4732440D04Rik_ENSMUSG00000090031	93	173	206	43	52	37	158	135	176	82	211	80
Alkal1_ENSMUSG00000087247	0	0	0	0	0	0	1	0	0	0	0	1
Gm2147_ENSMUSG00000103355	2	0	0	0	0	0	3	1	0	0	0	2
Gm7417_ENSMUSG00000102706	0	0	0	0	0	0	0	0	0	0	0	0
Gm19026_ENSMUSG00000103845	47	52	48	8	8	1	37	34	47	8	11	4
St18_ENSMUSG00000033740	11077	11764	10740	4734	3095	4448	11205	8936	12985	5697	10665	4960
Gm42492_ENSMUSG00000103329	0	0	3	0	0	0	0	0	0	0	0	0
Gm7449_ENSMUSG00000104385	0	1	2	0	1	1	1	0	0	0	5	0
Gm37108_ENSMUSG00000102135	6	5	12	7	10	11	6	7	12	6	17	4
Gm37275_ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0	0	0
Gm37225_ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	0	0	0
Gm37489_ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0	0
Gm5694_ENSMUSG00000103629	0	0	0	0	0	0	0	0	0	0	0	0
Pcmtd1_ENSMUSG00000051285	3363	4410	4319	3019	3209	3251	4776	3509	5394	4088	6423	3392
Gm26983_ENSMUSG00000098201	0	0	0	0	0	0	0	0	0	0	1	0
Gm38372_ENSMUSG00000103509	17	49	29	16	39	23	26	34	33	19	25	41
Gm9826_ENSMUSG00000048538	9	11	7	2	11	15	13	8	17	8	8	5
Nras-ps2_ENSMUSG00000103709	2	0	0	0	0	0	0	0	0	0	0	0
Gm23274_ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	0	0	0
Gm19002_ENSMUSG00000102768	0	0	0	0	0	0	0	0	0	0	0	0
Gm26901_ENSMUSG00000097797	12	17	18	2	4	0	5	15	25	2	6	2
Gm18984_ENSMUSG00000103498	0	0	0	0	0	0	0	0	0	0	0	0
Gm30414_ENSMUSG00000103067	0	0	0	0	0	0	0	0	0	0	0	0
Gm37791_ENSMUSG00000102320	0	0	0	0	0	0	0	0	0	0	0	0
Gm7470_ENSMUSG00000104226	0	0	0	0	0	0	0	0	0	0	0	0
Rps2-ps2_ENSMUSG00000103903	0	0	0	0	0	0	0	0	0	0	0	0
Gm38216_ENSMUSG00000103557	0	0	0	0	0	0	0	0	0	0	0	0
Sntg1_ENSMUSG00000025909	686	1003	820	366	223	294	952	758	981	475	950	414
Gm38024_ENSMUSG00000102647	0	0	0	0	0	0	0	0	0	0	2	0
Gm16284_ENSMUSG00000086235	0	4	4	1	1	5	2	7	1	3	2	1
Gm38259_ENSMUSG00000102253	0	0	0	0	1	0	0	0	0	0	0	0
Gm23358_ENSMUSG00000093970	0	0	0	0	0	0	0	0	0	0	0	0
