gene	KO_1_NonTreatment	KO_2_NonTreatment	KO_3_NonTreatment	KO_4_CytokineTreatment	KO_5_CytokineTreatment	KO_6_CytokineTreatment	WT_1_NonTreatment	WT_2_NonTreatment	WT_3_NonTreatment	WT_4_CytokineTreatment	WT_5_CytokineTreatment	WT_6_CytokineTreatment
4933401J01Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm26206	0	0	0	0	0	0	0	0	0	0	0	0
Xkr4	341	394	365	353	290	361	315	200	325	422	823	417
Gm18956	0	0	0	0	0	0	0	0	0	0	0	0
Gm37180	0	1	1	0	2	1	0	0	0	0	2	0
Gm37363	0	0	0	0	0	0	0	0	0	0	2	0
Gm37686	0	0	0	0	0	1	0	0	0	0	5	0
Gm1992	8	5	10	4	3	3	0	5	4	1	5	1
Gm37329	0	0	0	0	0	0	0	0	0	0	0	0
Gm7341	5	1	2	1	1	0	5	2	9	1	9	4
Gm38148	0	0	0	0	1	0	0	0	0	1	0	0
Gm19938	1	11	10	16	22	17	8	8	5	19	21	10
Gm10568	0	1	0	1	1	0	0	0	0	1	2	0
Gm38385	0	0	0	0	0	0	0	0	0	0	0	0
Gm27396	0	0	0	0	0	0	0	0	0	0	0	0
Gm37381	0	0	0	0	0	0	0	0	0	0	0	0
Rp1	3	0	0	0	0	0	0	0	0	0	1	0
Gm6101	0	0	0	0	0	0	0	0	0	0	0	0
Gm37483	0	0	0	0	0	0	0	0	0	0	0	0
Sox17	440	485	458	34	51	58	326	525	686	54	93	59
Gm37587	0	0	0	0	0	0	2	0	2	0	0	0
Gm7357	20	13	19	22	21	19	11	10	7	14	54	12
Gm22307	0	0	0	0	0	0	0	1	0	1	0	0
Gm38076	0	0	0	0	0	0	0	3	0	0	0	0
Gm37323	0	0	1	0	0	2	1	0	2	0	0	0
Gm7369	0	1	0	0	0	1	0	1	0	0	2	0
Gm6085	56	57	48	47	52	43	59	61	60	76	95	51
Gm6119	11	3	4	2	12	4	5	7	7	0	10	10
Gm25493	0	0	0	0	0	0	0	0	0	0	0	0
Gm2053	0	1	0	0	0	0	0	0	0	0	1	0
Gm6123	117	155	163	111	110	127	142	113	178	174	255	108
Mrpl15	1094	1031	1232	981	1309	1008	1018	996	1437	1433	2019	967
Gm37144	6	8	13	7	5	2	13	11	6	4	15	10
Lypla1	592	1057	1113	561	918	611	1147	896	1361	912	1176	577
Gm37988	0	0	0	0	0	0	0	0	0	0	0	0
Tcea1	2439	2656	2593	3524	3575	3106	2649	2228	3185	4873	8105	3781
Gm6104	58	50	63	28	73	28	69	45	82	31	35	20
Gm37277	17	13	13	9	5	9	3	5	5	9	13	5
Rgs20	57	65	58	79	69	73	61	46	59	82	113	76
Gm17100	0	0	0	0	0	0	1	0	0	0	0	0
Gm37079	0	0	0	0	0	0	0	0	0	0	0	0
Gm16041	1	0	2	0	0	0	0	1	1	0	0	0
Gm17101	0	0	1	0	0	0	0	0	0	0	0	0
Atp6v1h	4055	4433	4769	4819	4489	4505	4544	3873	5519	6449	10763	4978
Gm7182	0	0	0	0	0	0	0	0	0	0	0	0
Gm37567	0	0	0	0	0	2	0	0	0	0	0	0
Gm38264	0	0	0	0	0	0	0	0	0	0	0	0
Oprk1	0	0	0	0	0	0	0	0	0	0	0	0
Gm36965	0	0	0	0	0	0	0	0	0	0	0	0
Gm22463	0	0	0	0	0	0	0	0	0	0	0	0
Gm37429	0	0	0	0	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	5	8	9	0	0	3	19	25	7
Gm19214	0	0	0	0	0	0	0	0	0	0	0	0
Rb1cc1	2517	2863	2690	1317	1892	1211	2896	2208	3452	2024	2751	1592
4732440D04Rik	57	119	147	31	37	26	118	88	118	56	161	52
Alkal1	0	0	0	0	0	0	1	0	0	0	0	0
Gm2147	14	4	4	7	13	4	10	4	5	7	4	2
Gm7417	0	1	0	0	0	0	0	0	0	0	0	0
Gm19026	61	75	58	18	40	26	60	46	76	42	62	27
St18	7825	8233	7539	3380	2130	3018	7990	6269	9077	4080	7274	3474
Gm42492	0	0	3	0	0	0	0	0	0	0	0	0
Gm7449	0	0	0	0	0	0	0	0	0	0	0	0
Gm37108	21	21	28	27	40	29	26	25	44	38	53	30
Gm37275	0	0	0	0	0	0	0	0	0	0	0	0
Gm37225	0	0	0	0	0	0	0	0	0	0	0	0
Gm37489	0	0	0	0	0	0	0	0	0	0	0	0
Gm5694	0	0	0	0	0	0	0	0	0	0	0	0
Pcmtd1	2381	3085	2973	2134	2231	2176	3393	2382	3770	2871	4311	2394
Gm26983	2	0	1	2	3	1	1	3	3	2	4	2
Gm38372	12	28	19	13	31	17	11	22	11	12	13	25
Gm9826	127	139	109	106	147	131	159	125	211	134	215	101
Nras-ps2	2	0	0	0	0	0	0	0	0	0	0	0
Gm23274	0	0	0	0	0	0	0	0	0	0	0	0
Gm19002	0	0	0	0	0	0	0	0	0	0	0	0
Gm26901	9	10	13	0	2	0	2	11	18	1	0	2
Gm18984	0	0	0	0	0	0	0	0	0	0	0	0
Gm30414	0	0	0	0	0	0	0	0	0	0	0	0
Gm37791	0	0	0	0	0	0	0	0	0	0	0	0
Gm7470	0	0	0	0	1	0	0	0	0	0	0	0
Rps2-ps2	0	0	0	0	0	0	0	0	0	0	0	0
Gm38216	0	0	0	0	0	0	0	0	0	0	0	0
Sntg1	500	701	591	255	168	199	702	543	710	357	643	304
Gm38024	0	0	0	0	0	0	0	0	0	0	1	0
Gm16284	6	19	19	9	20	13	21	10	12	28	35	16
Gm38259	0	0	0	0	1	0	0	0	0	0	0	0
Gm23358	0	0	0	0	0	0	0	0	0	0	0	0
Gm37005	0	0	0	0	0	0	0	0	0	0	0	0
Gm15452	20	25	11	20	30	14	10	9	27	20	14	17
Gm36964	121	175	132	149	207	156	170	125	173	188	325	142
Gm24276	5	61	60	44	76	67	52	69	81	67	118	50
Gm6152	0	0	2	0	0	0	0	0	5	0	2	1
Gm7445	0	0	1	0	0	3	1	1	0	0	0	0
Gm7493	7	9	10	5	9	5	11	5	6	9	10	7
Gm37629	0	0	0	1	0	0	0	1	0	1	0	0
Gm38008	0	0	0	0	2	0	0	0	0	0	0	0
Gm37143	0	0	0	0	0	0	0	0	0	0	0	0
Gm6187	6	12	8	6	11	3	12	13	11	3	26	9
Gm18299	0	0	0	0	0	0	0	0	0	0	0	0
Gm7512	0	0	0	0	0	0	0	0	0	0	0	0
