gene	KO_1_NonTreatment	KO_2_NonTreatment	KO_3_NonTreatment	KO_4_CytokineTreatment	KO_5_CytokineTreatment	KO_6_CytokineTreatment	WT_1_NonTreatment	WT_2_NonTreatment	WT_3_NonTreatment	WT_4_CytokineTreatment	WT_5_CytokineTreatment	WT_6_CytokineTreatment
4933401J01Rik_ENSMUSG00000102693	0	0	0	0	0	0	0	0	0	0	0	0
Gm26206_ENSMUSG00000064842	0	0	0	0	0	0	0	0	0	0	0	0
Xkr4_ENSMUSG00000051951	341	394	365	353	290	361	315	200	325	422	823	417
Gm18956_ENSMUSG00000102851	0	0	0	0	0	0	0	0	0	0	0	0
Gm37180_ENSMUSG00000103377	0	1	1	0	2	1	0	0	0	0	2	0
Gm37363_ENSMUSG00000104017	0	0	0	0	0	0	0	0	0	0	2	0
Gm37686_ENSMUSG00000103025	0	0	0	0	0	1	0	0	0	0	5	0
Gm1992_ENSMUSG00000089699	8	5	10	4	3	3	0	5	4	1	5	1
Gm37329_ENSMUSG00000103201	0	0	0	0	0	0	0	0	0	0	0	0
Gm7341_ENSMUSG00000103147	5	1	2	1	1	0	5	2	9	1	9	4
Gm38148_ENSMUSG00000103161	0	0	0	0	1	0	0	0	0	1	0	0
Gm19938_ENSMUSG00000102331	1	11	10	16	22	17	8	8	5	19	21	10
Gm10568_ENSMUSG00000102348	0	1	0	1	1	0	0	0	0	1	2	0
Gm38385_ENSMUSG00000102592	0	0	0	0	0	0	0	0	0	0	0	0
Gm27396_ENSMUSG00000088333	0	0	0	0	0	0	0	0	0	0	0	0
Gm37381_ENSMUSG00000102343	0	0	0	0	0	0	0	0	0	0	0	0
Rp1_ENSMUSG00000025900	3	0	0	0	0	0	0	0	0	0	1	0
Gm6101_ENSMUSG00000102948	0	0	0	0	0	0	0	0	0	0	0	0
Gm37483_ENSMUSG00000104123	0	0	0	0	0	0	0	0	0	0	0	0
Sox17_ENSMUSG00000025902	440	485	458	34	51	58	326	525	686	54	93	59
Gm37587_ENSMUSG00000104238	0	0	0	0	0	0	2	0	2	0	0	0
Gm7357_ENSMUSG00000102269	20	13	19	22	21	19	11	10	7	14	54	12
Gm22307_ENSMUSG00000096126	0	0	0	0	0	0	0	1	0	1	0	0
Gm38076_ENSMUSG00000103003	0	0	0	0	0	0	0	3	0	0	0	0
Gm37323_ENSMUSG00000104328	0	0	1	0	0	2	1	0	2	0	0	0
Gm7369_ENSMUSG00000102735	0	1	0	0	0	1	0	1	0	0	2	0
Gm6085_ENSMUSG00000098104	56	57	48	47	52	43	59	61	60	76	95	51
Gm6119_ENSMUSG00000102175	11	3	4	2	12	4	5	7	7	0	10	10
Gm25493_ENSMUSG00000088000	0	0	0	0	0	0	0	0	0	0	0	0
Gm2053_ENSMUSG00000103265	0	1	0	0	0	0	0	0	0	0	1	0
Gm6123_ENSMUSG00000103922	117	155	163	111	110	127	142	113	178	174	255	108
Mrpl15_ENSMUSG00000033845	1094	1031	1232	981	1309	1008	1018	996	1437	1433	2019	967
Gm37144_ENSMUSG00000102275	6	8	13	7	5	2	13	11	6	4	15	10
Lypla1_ENSMUSG00000025903	592	1057	1113	561	918	611	1147	896	1361	912	1176	577
Gm37988_ENSMUSG00000104217	0	0	0	0	0	0	0	0	0	0	0	0
Tcea1_ENSMUSG00000033813	2439	2656	2593	3524	3575	3106	2649	2228	3185	4873	8105	3781
Gm6104_ENSMUSG00000062588	58	50	63	28	73	28	69	45	82	31	35	20
Gm37277_ENSMUSG00000103280	17	13	13	9	5	9	3	5	5	9	13	5
Rgs20_ENSMUSG00000002459	57	65	58	79	69	73	61	46	59	82	113	76
Gm17100_ENSMUSG00000091305	0	0	0	0	0	0	1	0	0	0	0	0
Gm37079_ENSMUSG00000102653	0	0	0	0	0	0	0	0	0	0	0	0
Gm16041_ENSMUSG00000085623	1	0	2	0	0	0	0	1	1	0	0	0
Gm17101_ENSMUSG00000091665	0	0	1	0	0	0	0	0	0	0	0	0
Atp6v1h_ENSMUSG00000033793	4055	4433	4769	4819	4489	4505	4544	3873	5519	6449	10763	4978
Gm7182_ENSMUSG00000104352	0	0	0	0	0	0	0	0	0	0	0	0
Gm37567_ENSMUSG00000104046	0	0	0	0	0	2	0	0	0	0	0	0
Gm38264_ENSMUSG00000102907	0	0	0	0	0	0	0	0	0	0	0	0
Oprk1_ENSMUSG00000025905	0	0	0	0	0	0	0	0	0	0	0	0
Gm36965_ENSMUSG00000103936	0	0	0	0	0	0	0	0	0	0	0	0
Gm22463_ENSMUSG00000093015	0	0	0	0	0	0	0	0	0	0	0	0
Gm37429_ENSMUSG00000103519	0	0	0	0	0	0	0	0	0	0	0	0
Npbwr1_ENSMUSG00000033774	0	0	0	5	8	9	0	0	3	19	25	7
Gm19214_ENSMUSG00000103090	0	0	0	0	0	0	0	0	0	0	0	0
Rb1cc1_ENSMUSG00000025907	2517	2863	2690	1317	1892	1211	2896	2208	3452	2024	2751	1592
4732440D04Rik_ENSMUSG00000090031	57	119	147	31	37	26	118	88	118	56	161	52
Alkal1_ENSMUSG00000087247	0	0	0	0	0	0	1	0	0	0	0	0
Gm2147_ENSMUSG00000103355	14	4	4	7	13	4	10	4	5	7	4	2
Gm7417_ENSMUSG00000102706	0	1	0	0	0	0	0	0	0	0	0	0
Gm19026_ENSMUSG00000103845	61	75	58	18	40	26	60	46	76	42	62	27
St18_ENSMUSG00000033740	7825	8233	7539	3380	2130	3018	7990	6269	9077	4080	7274	3474
Gm42492_ENSMUSG00000103329	0	0	3	0	0	0	0	0	0	0	0	0
Gm7449_ENSMUSG00000104385	0	0	0	0	0	0	0	0	0	0	0	0
Gm37108_ENSMUSG00000102135	21	21	28	27	40	29	26	25	44	38	53	30
Gm37275_ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0	0	0
Gm37225_ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	0	0	0
Gm37489_ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0	0
Gm5694_ENSMUSG00000103629	0	0	0	0	0	0	0	0	0	0	0	0
Pcmtd1_ENSMUSG00000051285	2381	3085	2973	2134	2231	2176	3393	2382	3770	2871	4311	2394
Gm26983_ENSMUSG00000098201	2	0	1	2	3	1	1	3	3	2	4	2
Gm38372_ENSMUSG00000103509	12	28	19	13	31	17	11	22	11	12	13	25
Gm9826_ENSMUSG00000048538	127	139	109	106	147	131	159	125	211	134	215	101
Nras-ps2_ENSMUSG00000103709	2	0	0	0	0	0	0	0	0	0	0	0
Gm23274_ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	0	0	0
Gm19002_ENSMUSG00000102768	0	0	0	0	0	0	0	0	0	0	0	0
Gm26901_ENSMUSG00000097797	9	10	13	0	2	0	2	11	18	1	0	2
Gm18984_ENSMUSG00000103498	0	0	0	0	0	0	0	0	0	0	0	0
Gm30414_ENSMUSG00000103067	0	0	0	0	0	0	0	0	0	0	0	0
Gm37791_ENSMUSG00000102320	0	0	0	0	0	0	0	0	0	0	0	0
Gm7470_ENSMUSG00000104226	0	0	0	0	1	0	0	0	0	0	0	0
Rps2-ps2_ENSMUSG00000103903	0	0	0	0	0	0	0	0	0	0	0	0
Gm38216_ENSMUSG00000103557	0	0	0	0	0	0	0	0	0	0	0	0
Sntg1_ENSMUSG00000025909	500	701	591	255	168	199	702	543	710	357	643	304
Gm38024_ENSMUSG00000102647	0	0	0	0	0	0	0	0	0	0	1	0
Gm16284_ENSMUSG00000086235	6	19	19	9	20	13	21	10	12	28	35	16
Gm38259_ENSMUSG00000102253	0	0	0	0	1	0	0	0	0	0	0	0
Gm23358_ENSMUSG00000093970	0	0	0	0	0	0	0	0	0	0	0	0
