"gene_name","ens_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Gbp5","ENSMUSG00000105504",14155.8630665259,-8.45334376393502,0.215942685351525,0,0
"Gbp2","ENSMUSG00000028270",107093.265160807,-8.65357453573998,0.196025351708768,0,0
"Cxcl1","ENSMUSG00000029380",8211.56045497077,-7.47192453633035,0.191672590450172,0,0
"Cxcl10","ENSMUSG00000034855",16497.6711217606,-8.66544952797585,0.152401172256318,0,0
"Gbp4","ENSMUSG00000079363",27431.6457656041,-8.33751576274684,0.197019492824438,0,0
"Gbp6","ENSMUSG00000104713",7187.28005108659,-7.43866421252438,0.164653519676127,0,0
"Tnfaip3","ENSMUSG00000019850",5279.95382752765,-4.56927115010514,0.0950389108976507,0,0
"Acod1","ENSMUSG00000022126",4744.84453935374,-9.0171766104862,0.211639881492729,0,0
"Icam1","ENSMUSG00000037405",17906.2101530376,-5.63261663413351,0.119780474683547,0,0
"Irgm1","ENSMUSG00000046879",10612.3377867065,-4.18488349128727,0.106966308386687,0,0
"Ccl2","ENSMUSG00000035385",7672.63598860814,-7.09337688380874,0.169619567206268,0,0
"Nampt","ENSMUSG00000020572",8549.87099401486,-2.85503404061654,0.0731577930822855,0,0
"Socs1","ENSMUSG00000038037",2223.24405992612,-5.30577406648306,0.129463050280381,0,0
"Dtx3l","ENSMUSG00000049502",7779.36066244195,-3.06216398419938,0.0788107643041398,0,0
"Tap2","ENSMUSG00000024339",9879.23630918499,-2.65572994704287,0.0692944851518147,0,0
"AW112010","ENSMUSG00000075010",2321.48494104275,-5.70386645949609,0.150354642474496,0,0
"Cd274","ENSMUSG00000016496",16686.8506605867,-4.83762904048963,0.114171369277799,0,0
"Igtp","ENSMUSG00000078853",10141.634297386,-5.92759111847756,0.159517483135698,5.92034676145289e-305,8.56082141706088e-302
"Tap1","ENSMUSG00000037321",13185.784619529,-4.67229814363771,0.127287397802973,1.00187455743677e-297,1.37246268320864e-294
