"gene_name","ens_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Pomc","ENSMUSG00000020660",708.180939613248,-2.83263814704934,0.254764078088957,3.14021604898345e-32,5.59052663200523e-28
"Rec8","ENSMUSG00000002324",1119.48659744838,1.06904855234778,0.14667782615605,1.67302321535896e-16,1.48924161515178e-12
"Col6a4","ENSMUSG00000032572",82.1945842114071,-1.84112693962631,0.278476728403108,3.11965945409453e-14,1.85130990870816e-10
"Rnasel","ENSMUSG00000066800",294.288254071697,-1.03803708935878,0.160411220373745,9.26660845081825e-14,4.12433575624793e-10
"AW112010","ENSMUSG00000075010",2321.48494104275,0.742828044650677,0.109430504840389,8.25234488532253e-13,2.93832991986794e-09
"Trpm1","ENSMUSG00000030523",206.726791151784,-1.61258680766194,0.305240823231832,1.42377838339854e-11,4.2245877599407e-08
"Cnnm2","ENSMUSG00000064105",1444.91243821758,-0.452986217246277,0.0759230414707874,6.16100626757306e-11,1.56691992259433e-07
"Chl1","ENSMUSG00000030077",1017.84631237727,-1.41108068009834,0.293186200048637,9.40658337988084e-11,1.89898830022587e-07
"Tac1","ENSMUSG00000061762",569.128416176503,-1.14974874932293,0.228252370101702,9.60000825817717e-11,1.89898830022587e-07
"Cib2","ENSMUSG00000037493",717.599398279355,0.801503915228619,0.136891835003279,1.64687896655443e-10,2.93193862415685e-07
"Slc35f2","ENSMUSG00000042195",63.6533512853392,-1.90051245299166,0.408303952712302,9.13273825492629e-10,1.47809217411321e-06
"Robo1","ENSMUSG00000022883",2089.36031830563,0.644408233316016,0.114329993677279,1.44598947154489e-09,2.14524588015948e-06
"Clca3a2","ENSMUSG00000028262",61.186215843835,-1.37024256659007,0.326272010479483,2.2291504118653e-09,3.05273575249522e-06
"Gphb5","ENSMUSG00000048982",198.994031551021,-0.877350484099464,0.169896854146542,2.5766656259203e-09,3.06404658541148e-06
"Il33","ENSMUSG00000024810",175.524842676753,-0.910752260732264,0.179740123274585,2.58162662366861e-09,3.06404658541148e-06
"G6pc2","ENSMUSG00000005232",23058.3360544816,0.930477245251669,0.187854475738183,3.34069164650692e-09,3.71714583642267e-06
"Gna14","ENSMUSG00000024697",836.767989151296,-0.976730667674934,0.210422301757462,7.16613576346298e-09,7.50463029393714e-06
"Hist1h4a","ENSMUSG00000060093",93.2229780018129,-1.17218601277098,0.295690153142623,1.58477451163374e-08,1.56743003503419e-05
