"gene_name","ens_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Serpina3n","ENSMUSG00000021091",9397.53279365129,-3.50685413764066,0.308712219662107,2.71363570581687e-32,5.38738096675824e-28
"Pomc","ENSMUSG00000020660",708.180939613248,-2.37269007319296,0.254135006912905,1.0151908340744e-22,9.12295186604107e-19
"Fga","ENSMUSG00000028001",2254.19011734299,-5.69156562662416,0.602962137210498,1.37857530842307e-22,9.12295186604107e-19
"Nrcam","ENSMUSG00000020598",1683.85742509683,-1.11332080253716,0.119940732884609,6.25924541643641e-22,3.1066199813128e-18
"Col6a4","ENSMUSG00000032572",82.1945842114071,-2.34843479058414,0.25972077725701,1.56964960021344e-21,6.23245070260748e-18
"Fgb","ENSMUSG00000033831",4372.29773827382,-4.44208056426007,0.494077020139262,6.93739512072165e-21,2.29546842219478e-17
"Fgg","ENSMUSG00000033860",2913.35571209342,-5.857268391577,0.685997898081989,4.13910676844884e-19,1.17390980962878e-15
"Il18r1","ENSMUSG00000026070",399.280063023486,-1.70034288212429,0.215211804791882,9.98723513654514e-18,2.47845723957288e-14
"Gm36855","ENSMUSG00000111110",96.5369013263658,-2.85672612914123,0.369988786630868,4.15114677270994e-17,9.15696854206782e-14
"Rasgrp1","ENSMUSG00000027347",387.859673156678,-1.35383039910376,0.174528098560753,5.79032406553697e-17,1.14955303673105e-13
"Slc35f2","ENSMUSG00000042195",63.6533512853392,-2.81913623288156,0.413012193061232,3.27649062289911e-14,5.91346984876509e-11
"Mtmr10","ENSMUSG00000030522",1363.41394988052,-0.511809255867842,0.0713349858932457,4.42365183296323e-13,7.31856331998492e-10
"Acpp","ENSMUSG00000032561",266.488444761052,-1.84102096100053,0.288655309776157,7.96061479104624e-13,1.21570834958955e-09
"Sec22c","ENSMUSG00000061536",1626.36020982443,-0.53521657971133,0.0786833608970818,5.9733115571152e-12,8.47058245310058e-09
"Serpina3i","ENSMUSG00000079014",439.482447992211,-1.64181329750647,0.29734814030574,1.31692922043493e-10,1.74299972088632e-07
"Rab39","ENSMUSG00000055069",136.833751239934,-1.40880896118448,0.256115661800639,2.40770419288365e-10,2.8196460753757e-07
"Arhgap36","ENSMUSG00000036198",697.066576951265,2.01735525568533,0.370327755963439,2.41444533729849e-10,2.8196460753757e-07
"Tifa","ENSMUSG00000046688",4285.10023726255,-1.24100124466756,0.225117442957679,5.38898089274447e-10,5.94374653686977e-07
"Gal","ENSMUSG00000024907",487.285730652382,-0.982843608220233,0.170825793891601,7.79093936805589e-10,8.14071154073756e-07
"Lhx3","ENSMUSG00000026934",208.475726112806,-1.70573640978868,0.330849889114005,9.95499932429069e-10,9.88183007925715e-07
"Fam84a","ENSMUSG00000020607",1644.37823088256,-0.977214524233364,0.183523856828243,8.91332474804161e-09,8.42648743918429e-06
"Trpm1","ENSMUSG00000030523",206.726791151784,-1.32878161128011,0.272442458944761,1.01395499101839e-08,8.80605274080071e-06
"1200007C13Rik","ENSMUSG00000087684",81.0231741263364,-1.58800620085905,0.336492933801292,1.02019449472834e-08,8.80605274080071e-06
"Stom","ENSMUSG00000026880",5285.19875248291,-1.02903066888076,0.198361456292962,1.31154267168137e-08,1.08491902753709e-05
"Morc1","ENSMUSG00000022652",292.597439933042,-1.60433377344844,0.350685997368777,1.96602054131707e-08,1.56125623227071e-05
"4930539E08Rik","ENSMUSG00000048905",2376.67263059338,-0.931154369663223,0.179515538606058,2.39781481878434e-08,1.83091606143559e-05
"Ccdc170","ENSMUSG00000019767",67.8828842093889,-1.20528117302098,0.249978199575422,2.58299010085819e-08,1.89926305453103e-05
"Myo3b","ENSMUSG00000042064",83.2257311973436,-0.987859244395792,0.201219145596108,6.52564097901912e-08,4.62691251273095e-05
"Hcn1","ENSMUSG00000021730",270.263621579599,-1.04121371978473,0.216984727248622,7.77072417385095e-08,5.17042287138596e-05
