"gene_name","ens_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Gbp5","ENSMUSG00000105504",19939.720652241,-9.05506512421162,0.239553820260152,0,0
"Gbp2","ENSMUSG00000028270",151518.982819129,-9.06743279056685,0.199951398458106,0,0
"Cxcl1","ENSMUSG00000029380",10990.6100677413,-7.7325137700254,0.183678510489234,0,0
"Cxcl10","ENSMUSG00000034855",23430.4326313072,-8.68223063157096,0.17310840723499,0,0
"Gbp4","ENSMUSG00000079363",38576.6926692542,-9.37126954990701,0.227033774273916,0,0
"Gbp6","ENSMUSG00000104713",9850.00743282084,-7.60470782067946,0.163074283702956,0,0
"Tnfaip3","ENSMUSG00000019850",7633.04097405425,-4.54306247648423,0.0900167027245667,0,0
"Acod1","ENSMUSG00000022126",6985.1020885339,-8.63335814616792,0.164792736806925,0,0
"Icam1","ENSMUSG00000037405",25455.9608981395,-5.68852688389439,0.120009428910041,0,0
"Irgm1","ENSMUSG00000046879",15893.908363702,-4.32536228554036,0.0950678530228183,0,0
"Irf1","ENSMUSG00000018899",27217.6235877878,-3.82246665450837,0.0972452072966017,0,0
"Igtp","ENSMUSG00000078853",15007.879047946,-6.02350080178539,0.155780145849205,0,0
"Nos2","ENSMUSG00000020826",36588.2466310212,-11.9131506048373,0.301354107118027,0,0
"Ccl2","ENSMUSG00000035385",9680.0154268453,-6.94868055119534,0.180575232434419,0,0
"Nampt","ENSMUSG00000020572",12006.7198820866,-2.88358123486292,0.0702699456169122,0,0
"Parp14","ENSMUSG00000034422",16933.113663909,-3.79559105284832,0.0989508972094712,0,0
"Dtx3l","ENSMUSG00000049502",11399.4404546368,-3.24268387203256,0.075523111708995,0,0
"Psmb9","ENSMUSG00000096727",6201.37674406161,-4.20413900330171,0.107929749187922,0,0
"Tap1","ENSMUSG00000037321",17464.3710025408,-4.9210185047565,0.121322797596396,0,0
"Psmb8","ENSMUSG00000024338",12022.9526081848,-3.69963323863912,0.097444419925174,0,0
"Tap2","ENSMUSG00000024339",13005.7842231506,-3.14376745286172,0.0749484952854768,0,0
"AW112010","ENSMUSG00000075010",3410.62358286897,-6.406702325681,0.123428788123764,0,0
"Cd274","ENSMUSG00000016496",24509.3163906779,-5.39509895755188,0.112543553010755,0,0
"Ifit2","ENSMUSG00000045932",7369.93147914825,-6.20633718761864,0.154882056760796,0,0
"Cxcl2","ENSMUSG00000058427",2194.9801417085,-7.39058644452483,0.200227399856449,6.74578888289622e-300,7.00779532310791e-297
"Gbp10","ENSMUSG00000105096",9318.82343540637,-10.6922623514223,0.292788258012303,1.32320118451325e-294,1.32172530626898e-291
"Gbp7","ENSMUSG00000040253",7819.4710293671,-4.2495380490826,0.116927828135666,3.18013039882572e-291,3.05893209584825e-288
"Gbp8","ENSMUSG00000034438",9067.94776093413,-6.49152825035693,0.181670243705941,7.59074960663138e-282,7.04069135835084e-279
"Socs1","ENSMUSG00000038037",2945.37905278234,-5.26453896303673,0.149630891119271,9.48958084312792e-274,8.49841048540949e-271
"Mlkl","ENSMUSG00000012519",3809.90729273751,-3.69329151618305,0.106176915981618,6.90087604602314e-267,5.97408839304224e-264
"Gbp3","ENSMUSG00000028268",41964.847181863,-7.53407199425744,0.218201187725974,7.56326759419765e-263,6.33631040931958e-260
"Psme1","ENSMUSG00000022216",13545.6272225644,-2.46880412532266,0.0718354370811524,2.48572604571386e-260,2.01739972291358e-257
"Zc3h12a","ENSMUSG00000042677",4675.97529723716,-4.32822361416545,0.128192320681974,5.73608117308352e-252,4.51429588321673e-249
"Parp12","ENSMUSG00000038507",8167.43139626465,-2.48389379576011,0.0742984579326379,1.51019536057715e-246,1.15356716792792e-243
"C1ra","ENSMUSG00000055172",14186.3823960034,-6.49542583317102,0.19689346550618,7.04597833197321e-241,5.22831723599075e-238
"Gbp9","ENSMUSG00000029298",11747.2023476668,-5.65440346265654,0.172826815872588,2.22870273434572e-237,1.60782329760258e-234
"Rnd3","ENSMUSG00000017144",2887.92353007869,-3.03021204159178,0.094443635259159,1.35368391205565e-227,9.50176348108034e-225
"Psmb10","ENSMUSG00000031897",8918.39394430643,-3.12979716731698,0.0991737097602048,2.52230301234455e-220,1.72386135614738e-217
