"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"1","query_1","TRUE","5.8965633788864e-26","1024","6510","416","0.0639016897081413","0.40625","CORUM:0000000","CORUM","CORUM root","26396","1","character(0)"
"2","query_1","TRUE","2.62152166767163e-15","46","6493","38","0.00585245649160635","0.826086956521739","CORUM:3047","CORUM","Parvulin-associated pre-rRNP complex","26396","332","CORUM:0000000"
"3","query_1","TRUE","1.27023315994783e-08","14","5987","14","0.00233839986637715","1","CORUM:38","CORUM","20S proteasome","26396","7","CORUM:0000000"
"4","query_1","TRUE","5.60973576479805e-08","13","5987","13","0.00217137130449307","1","CORUM:39","CORUM","Immunoproteasome","26396","8","CORUM:0000000"
"5","query_1","TRUE","0.00036887843942902","7","5887","7","0.00118906064209275","1","CORUM:132","CORUM","CCT complex (chaperonin containing TCP1 complex)","26396","24","CORUM:0000000"
"6","query_1","TRUE","0.00036887843942902","7","5887","7","0.00118906064209275","1","CORUM:52","CORUM","CCT complex (chaperonin containing TCP1 complex)","26396","13","CORUM:0000000"
"7","query_1","TRUE","0.00036887843942902","7","5887","7","0.00118906064209275","1","CORUM:51","CORUM","CCT complex (chaperonin containing TCP1 complex)","26396","12","CORUM:0000000"
"8","query_1","TRUE","0.000411269433234782","11","5585","9","0.00161145926589078","0.818181818181818","CORUM:538","CORUM","Cytochrome c oxidase, mitochondrial","26396","91","CORUM:0000000"
"9","query_1","TRUE","0.00237567276281181","8","5887","7","0.00118906064209275","0.875","CORUM:3072","CORUM","CCT complex (chaperonin containing TCP1 complex), testis specific","26396","336","CORUM:0000000"
"10","query_1","TRUE","0.00318066086612952","2","406","2","0.00492610837438424","1","CORUM:5365","CORUM","Ripk2-Nod2 complex","26396","422","CORUM:0000000"
"11","query_1","TRUE","0.00624019563595171","3","2043","3","0.00146842878120411","1","CORUM:5616","CORUM","Hsp110-Hsc70-Hsp25 complex","26396","441","CORUM:0000000"
"12","query_1","TRUE","0.00672207904633382","2","590","2","0.00338983050847458","1","CORUM:7362","CORUM","Irf1-Irf8 complex","26396","659","CORUM:0000000"
"13","query_1","TRUE","0.0104253649010584","3","2424","3","0.00123762376237624","1","CORUM:2902","CORUM","Grb2-Lab-Blnk complex, BCR stimulated","26396","292","CORUM:0000000"
"14","query_1","TRUE","0.020454928197342","6","5223","5","0.000957304231284702","0.833333333333333","CORUM:5936","CORUM","Ksr1-CK2-MEK-14-3-3 complex, PDGF treated","26396","481","CORUM:0000000"
"15","query_1","TRUE","0.0220238488351036","3","3110","3","0.000964630225080386","1","CORUM:7007","CORUM","Grb2-Pld2-Was complex","26396","635","CORUM:0000000"
"16","query_1","TRUE","0.0275573710903836","2","27","1","0.037037037037037","0.5","CORUM:7446","CORUM","Hook3-Iigp complex","26396","664","CORUM:0000000"
"17","query_1","TRUE","0.0297029903204589","4","513","2","0.00389863547758285","0.5","CORUM:6996","CORUM","Txnip-Nlrp3-Asc-Casp1 complex","26396","632","CORUM:0000000"
"18","query_1","TRUE","0.0391960684291534","4","6131","4","0.00065242211710977","1","CORUM:6262","CORUM","L11-HDM2-p53-ARF complex","26396","508","CORUM:0000000"
"19","query_1","TRUE","0.0391960684291534","4","6131","4","0.00065242211710977","1","CORUM:5725","CORUM","Mdm2-P53 complex","26396","456","CORUM:0000000"
"20","query_1","TRUE","0.0405893798372653","6","1466","3","0.00204638472032742","0.5","CORUM:2836","CORUM","Profilin 1 complex","26396","282","CORUM:0000000"
"21","query_1","TRUE","0.0414005837209225","3","3838","3","0.000781657113079729","1","CORUM:6227","CORUM","S4-synectin-RhoGDI1 complex","26396","503","CORUM:0000000"
"22","query_1","TRUE","0.0419417807392236","2","1473","2","0.00135777325186694","1","CORUM:5813","CORUM","tBID-BAK1 complex","26396","464","CORUM:0000000"
"23","query_1","TRUE","0.0457736581440024","13","6116","8","0.0013080444735121","0.615384615384615","CORUM:6938","CORUM","c-Src immune complex","26396","622","CORUM:0000000"
"24","query_1","TRUE","0.0460839323856963","2","1544","2","0.00129533678756477","1","CORUM:3114","CORUM","Itgax-Itgb2-Icam4 complex","26396","340","CORUM:0000000"
"25","query_1","TRUE","1.74983879051233e-109","1341","1584","370","0.233585858585859","0.275913497390007","GO:0006952","GO:BP","defense response","26396","2904","GO:0006950"
"26","query_1","TRUE","5.25742659871344e-107","1224","1584","350","0.220959595959596","0.285947712418301","GO:0051707","GO:BP","response to other organism","26396","16122","c(""GO:0043207"", ""GO:0044419"")"
"27","query_1","TRUE","9.53696832711129e-107","1226","1584","350","0.220959595959596","0.285481239804241","GO:0043207","GO:BP","response to external biotic stimulus","26396","12249","c(""GO:0009605"", ""GO:0009607"")"
"28","query_1","TRUE","2.1459770369205e-105","1257","1584","352","0.222222222222222","0.280031821797932","GO:0009607","GO:BP","response to biotic stimulus","26396","3999","GO:0050896"
"29","query_1","TRUE","8.28887194568363e-104","2259","1551","465","0.299806576402321","0.205843293492696","GO:0002376","GO:BP","immune system process","26396","1042","GO:0008150"
"30","query_1","TRUE","7.74263164431288e-102","1427","1584","367","0.231691919191919","0.25718290119131","GO:0044419","GO:BP","biological process involved in interspecies interaction between organisms","26396","12841","GO:0008150"
"31","query_1","TRUE","1.62998399924115e-95","1325","1534","344","0.224250325945241","0.259622641509434","GO:0006955","GO:BP","immune response","26396","2907","c(""GO:0002376"", ""GO:0050896"")"
"32","query_1","TRUE","3.87815999214964e-92","873","1580","279","0.176582278481013","0.319587628865979","GO:0098542","GO:BP","defense response to other organism","26396","22106","c(""GO:0006952"", ""GO:0051707"")"
"33","query_1","TRUE","1.31409380314056e-85","2423","1569","454","0.289356277884003","0.187371027651671","GO:0009605","GO:BP","response to external stimulus","26396","3997","GO:0050896"
"34","query_1","TRUE","4.07211949622353e-84","685","1569","232","0.147864882090503","0.338686131386861","GO:0045087","GO:BP","innate immune response","26396","13177","c(""GO:0006955"", ""GO:0098542"")"
"35","query_1","TRUE","2.20971314470081e-70","846","5774","458","0.0793210945618289","0.541371158392435","GO:0034097","GO:BP","response to cytokine","26396","9709","GO:0010033"
"36","query_1","TRUE","9.00411935561939e-66","3351","1587","498","0.313799621928166","0.148612354521038","GO:0006950","GO:BP","response to stress","26396","2903","GO:0050896"
"37","query_1","TRUE","3.88308985059749e-62","1201","1748","279","0.159610983981693","0.232306411323897","GO:0002682","GO:BP","regulation of immune system process","26396","1336","c(""GO:0002376"", ""GO:0050789"")"
"38","query_1","TRUE","3.6493975309444e-61","738","6410","428","0.0667706708268331","0.579945799457995","GO:0071345","GO:BP","cellular response to cytokine stimulus","26396","19458","c(""GO:0034097"", ""GO:0071310"")"
"39","query_1","TRUE","4.95287669151827e-61","2745","6511","1165","0.178927968054062","0.424408014571949","GO:0070887","GO:BP","cellular response to chemical stimulus","26396","19192","c(""GO:0042221"", ""GO:0051716"")"
"40","query_1","TRUE","1.76473371857011e-59","664","1108","169","0.152527075812274","0.254518072289157","GO:0009617","GO:BP","response to bacterium","26396","4008","GO:0051707"
"41","query_1","TRUE","2.26046274386724e-58","631","2367","223","0.0942120828052387","0.353407290015848","GO:0006954","GO:BP","inflammatory response","26396","2906","GO:0006952"
"42","query_1","TRUE","4.33669334410648e-53","667","2473","221","0.0893651435503437","0.331334332833583","GO:0001816","GO:BP","cytokine production","26396","598","c(""GO:0010467"", ""GO:0032501"")"
"43","query_1","TRUE","9.36167748804925e-52","2193","6511","939","0.144217478113961","0.428180574555404","GO:0071310","GO:BP","cellular response to organic substance","26396","19425","c(""GO:0010033"", ""GO:0070887"")"
"44","query_1","TRUE","1.62818995002851e-50","3405","6512","1344","0.206388206388206","0.394713656387665","GO:0048583","GO:BP","regulation of response to stimulus","26396","14958","c(""GO:0050789"", ""GO:0050896"")"
"45","query_1","TRUE","2.98647997705371e-50","811","2340","235","0.10042735042735","0.289765721331689","GO:0032101","GO:BP","regulation of response to external stimulus","26396","8579","c(""GO:0009605"", ""GO:0048583"")"
"46","query_1","TRUE","7.01209144215644e-50","1916","6489","842","0.129758052088149","0.439457202505219","GO:0008219","GO:BP","cell death","26396","3580","GO:0009987"
"47","query_1","TRUE","7.32815574755473e-50","507","1735","154","0.0887608069164265","0.303747534516765","GO:0031347","GO:BP","regulation of defense response","26396","8316","c(""GO:0006952"", ""GO:0080134"")"
"48","query_1","TRUE","9.75920102305385e-50","697","1580","182","0.115189873417722","0.261119081779053","GO:0002252","GO:BP","immune effector process","26396","920","GO:0002376"
"49","query_1","TRUE","2.32330141274617e-49","598","2473","202","0.0816821674080065","0.337792642140468","GO:0001817","GO:BP","regulation of cytokine production","26396","599","c(""GO:0001816"", ""GO:0010468"", ""GO:0051239"")"
"50","query_1","TRUE","1.78941776455443e-47","5656","6514","2015","0.309333742708014","0.356258840169731","GO:1901564","GO:BP","organonitrogen compound metabolic process","26396","24840","c(""GO:0006807"", ""GO:0071704"")"
"51","query_1","TRUE","3.21605174852503e-46","4338","6514","1595","0.244857230580289","0.367680958967266","GO:0044267","GO:BP","cellular protein metabolic process","26396","12759","c(""GO:0019538"", ""GO:0044260"")"
"52","query_1","TRUE","8.46348508055882e-46","1765","6469","778","0.120265883444118","0.440793201133144","GO:0012501","GO:BP","programmed cell death","26396","5138","GO:0008219"
"53","query_1","TRUE","1.25248822319666e-45","1151","6512","544","0.0835380835380835","0.472632493483927","GO:0080134","GO:BP","regulation of response to stress","26396","20987","c(""GO:0006950"", ""GO:0048583"")"
"54","query_1","TRUE","1.67655578043007e-44","4880","6514","1768","0.271415412956709","0.362295081967213","GO:0019538","GO:BP","protein metabolic process","26396","6803","c(""GO:0043170"", ""GO:0044238"", ""GO:1901564"")"
"55","query_1","TRUE","2.08239820581337e-44","5577","6512","2004","0.307739557739558","0.35933297471759","GO:0048518","GO:BP","positive regulation of biological process","26396","14903","c(""GO:0008150"", ""GO:0050789"")"
"56","query_1","TRUE","8.53278835620566e-44","781","1746","193","0.110538373424971","0.247119078104994","GO:0002684","GO:BP","positive regulation of immune system process","26396","1338","c(""GO:0002376"", ""GO:0002682"", ""GO:0048518"")"
"57","query_1","TRUE","1.86228841707775e-43","2857","6511","1196","0.183689141452926","0.418620931046552","GO:0010033","GO:BP","response to organic substance","26396","4328","GO:0042221"
"58","query_1","TRUE","6.55707516773108e-43","1717","6469","752","0.116246715102798","0.437973209085614","GO:0006915","GO:BP","apoptotic process","26396","2874","GO:0012501"
"59","query_1","TRUE","1.06846754287059e-40","1915","2065","360","0.174334140435835","0.18798955613577","GO:0048584","GO:BP","positive regulation of response to stimulus","26396","14959","c(""GO:0048518"", ""GO:0048583"", ""GO:0050896"")"
"60","query_1","TRUE","4.65979517351608e-40","629","1746","165","0.0945017182130584","0.262321144674086","GO:0050776","GO:BP","regulation of immune response","26396","15379","c(""GO:0002682"", ""GO:0006955"", ""GO:0048583"")"
"61","query_1","TRUE","6.73112867629319e-40","55","320","31","0.096875","0.563636363636364","GO:0035456","GO:BP","response to interferon-beta","26396","10443","GO:0034097"
"62","query_1","TRUE","1.9402194416671e-39","1541","6501","687","0.105676049838486","0.445814406229721","GO:0010941","GO:BP","regulation of cell death","26396","5083","c(""GO:0008219"", ""GO:0050794"")"
