"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"1","query_1","TRUE","0.0281494944585314","1","48","1","0.0208333333333333","1","CORUM:6829","CORUM","Klotho-Kdr-Trpc1 complex","26396","599","CORUM:0000000"
"2","query_1","TRUE","0.0489947761394295","4","6262","4","0.000638773554774832","1","CORUM:583","CORUM","Ikaros-NuRD complex","26396","99","CORUM:0000000"
"3","query_1","TRUE","7.16228927379422e-11","325","6258","146","0.0233301374240972","0.449230769230769","GO:0044782","GO:BP","cilium organization","26396","13046","c(""GO:0006996"", ""GO:0120036"")"
"4","query_1","TRUE","1.70906154983621e-09","298","6258","133","0.0212527964205817","0.446308724832215","GO:0060271","GO:BP","cilium assembly","26396","17118","c(""GO:0044782"", ""GO:0070925"", ""GO:0120031"")"
"5","query_1","TRUE","4.64525015468948e-08","157","4503","65","0.0144348212302909","0.414012738853503","GO:0007156","GO:BP","homophilic cell adhesion via plasma membrane adhesion molecules","26396","3076","GO:0098742"
"6","query_1","TRUE","4.34624907620761e-07","177","2529","48","0.0189798339264531","0.271186440677966","GO:0007416","GO:BP","synapse assembly","26396","3310","c(""GO:0007399"", ""GO:0034329"", ""GO:0050808"")"
"7","query_1","TRUE","4.60881667075855e-07","2239","6013","680","0.11308830866456","0.303707012058955","GO:0007399","GO:BP","nervous system development","26396","3296","GO:0048731"
"8","query_1","TRUE","6.85036124283679e-07","183","4471","74","0.0165511071348692","0.404371584699454","GO:0071805","GO:BP","potassium ion transmembrane transport","26396","19819","c(""GO:0006813"", ""GO:0098662"")"
"9","query_1","TRUE","1.38163850853442e-06","1500","6258","479","0.0765420262064557","0.319333333333333","GO:0030030","GO:BP","cell projection organization","26396","7711","GO:0016043"
"10","query_1","TRUE","1.5612239284215e-06","1462","6258","468","0.074784276126558","0.320109439124487","GO:0120036","GO:BP","plasma membrane bounded cell projection organization","26396","22876","GO:0030030"
"11","query_1","TRUE","2.44978235034987e-06","187","6226","83","0.0133311917764215","0.443850267379679","GO:0099111","GO:BP","microtubule-based transport","26396","22375","c(""GO:0006810"", ""GO:0007018"")"
"12","query_1","TRUE","5.89090856245739e-06","211","4471","79","0.0176694251845225","0.374407582938389","GO:0006813","GO:BP","potassium ion transport","26396","2788","c(""GO:0015672"", ""GO:0030001"")"
"13","query_1","TRUE","1.04339137316801e-05","2190","6278","706","0.112456196240841","0.322374429223744","GO:0006366","GO:BP","transcription by RNA polymerase II","26396","2381","GO:0006351"
"14","query_1","TRUE","1.67111620801292e-05","2127","6278","687","0.109429754698949","0.322990126939351","GO:0006357","GO:BP","regulation of transcription by RNA polymerase II","26396","2374","c(""GO:0006355"", ""GO:0006366"")"
"15","query_1","TRUE","4.14095845329544e-05","138","5907","63","0.01066531234129","0.456521739130435","GO:0007224","GO:BP","smoothened signaling pathway","26396","3141","GO:0007166"
"16","query_1","TRUE","4.62700397336151e-05","487","6258","177","0.0282837967401726","0.363449691991786","GO:0120031","GO:BP","plasma membrane bounded cell projection assembly","26396","22871","c(""GO:0030031"", ""GO:0120036"")"
"17","query_1","TRUE","5.1488012152957e-05","474","6289","172","0.0273493401176658","0.362869198312236","GO:0006281","GO:BP","DNA repair","26396","2312","c(""GO:0006259"", ""GO:0006974"")"
"18","query_1","TRUE","6.60841076822388e-05","826","6255","284","0.0454036770583533","0.343825665859564","GO:0007017","GO:BP","microtubule-based process","26396","2957","GO:0009987"
"19","query_1","TRUE","0.000105860628847441","780","6274","263","0.0419190309212624","0.337179487179487","GO:0070925","GO:BP","organelle assembly","26396","19215","c(""GO:0006996"", ""GO:0022607"")"
"20","query_1","TRUE","0.000109234240008521","4878","6289","1484","0.235967562410558","0.304223042230422","GO:0046483","GO:BP","heterocycle metabolic process","26396","14222","GO:0044237"
"21","query_1","TRUE","0.000115285124484261","109","1787","26","0.0145495243424734","0.238532110091743","GO:0051963","GO:BP","regulation of synapse assembly","26396","16290","c(""GO:0007416"", ""GO:0050807"", ""GO:1901888"")"
"22","query_1","TRUE","0.000122180387338903","185","567","20","0.0352733686067019","0.108108108108108","GO:0007188","GO:BP","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","26396","3106","GO:0007187"
"23","query_1","TRUE","0.000134125948004696","4945","6289","1503","0.238988710446812","0.303943377148635","GO:0006725","GO:BP","cellular aromatic compound metabolic process","26396","2711","GO:0044237"
"24","query_1","TRUE","0.000135258745285855","58","5828","34","0.00583390528483185","0.586206896551724","GO:0061512","GO:BP","protein localization to cilium","26396","18284","GO:0033365"
"25","query_1","TRUE","0.000159791184117233","33","6247","23","0.00368176724827917","0.696969696969697","GO:0006505","GO:BP","GPI anchor metabolic process","26396","2499","c(""GO:0006664"", ""GO:0046488"")"
"26","query_1","TRUE","0.000170301047692024","499","6258","178","0.0284435922019815","0.356713426853707","GO:0030031","GO:BP","cell projection assembly","26396","7712","c(""GO:0022607"", ""GO:0030030"")"
