"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"1","query_1","TRUE","0.0203536780158048","3","11","1","0.0909090909090909","0.333333333333333","CORUM:7570","CORUM","Isl1-Ldb1-Lhx3 complex","26396","676","CORUM:0000000"
"2","query_1","TRUE","1.95732727953049e-07","9","4","3","0.75","0.333333333333333","GO:0072378","GO:BP","blood coagulation, fibrin clot formation","26396","20318","c(""GO:0007596"", ""GO:0072376"")"
"3","query_1","TRUE","5.12589625733997e-07","11","4","3","0.75","0.272727272727273","GO:0072376","GO:BP","protein activation cascade","26396","20316","c(""GO:0019538"", ""GO:0050896"")"
"4","query_1","TRUE","8.48054622533421e-07","14","4","3","0.75","0.214285714285714","GO:0034116","GO:BP","positive regulation of heterotypic cell-cell adhesion","26396","9725","c(""GO:0022409"", ""GO:0034113"", ""GO:0034114"")"
"5","query_1","TRUE","2.25727509284319e-06","18","4","3","0.75","0.166666666666667","GO:0042730","GO:BP","fibrinolysis","26396","11963","GO:0030195"
"6","query_1","TRUE","3.58710749457821e-06","21","4","3","0.75","0.142857142857143","GO:0031639","GO:BP","plasminogen activation","26396","8443","GO:0031638"
"7","query_1","TRUE","6.05546675644237e-06","24","4","3","0.75","0.125","GO:0034114","GO:BP","regulation of heterotypic cell-cell adhesion","26396","9723","c(""GO:0022407"", ""GO:0034113"")"
"8","query_1","TRUE","8.5095338453922e-06","29","4","3","0.75","0.103448275862069","GO:1902042","GO:BP","negative regulation of extrinsic apoptotic signaling pathway via death domain receptors","26396","25287","c(""GO:0008625"", ""GO:1902041"", ""GO:2001237"")"
"9","query_1","TRUE","9.45476872707111e-06","28","4","3","0.75","0.107142857142857","GO:2000352","GO:BP","negative regulation of endothelial cell apoptotic process","26396","29585","c(""GO:0072577"", ""GO:1904036"", ""GO:2000351"")"
"10","query_1","TRUE","3.08298282185821e-05","40","4","3","0.75","0.075","GO:0045907","GO:BP","positive regulation of vasoconstriction","26396","13679","c(""GO:0019229"", ""GO:0042310"", ""GO:0051240"")"
"11","query_1","TRUE","3.30310190539293e-05","43","4","3","0.75","0.0697674418604651","GO:0030195","GO:BP","negative regulation of blood coagulation","26396","7772","c(""GO:0007596"", ""GO:0030193"", ""GO:0050819"", ""GO:0061045"", ""GO:1900047"")"
"12","query_1","TRUE","3.53345034396004e-05","44","4","3","0.75","0.0681818181818182","GO:1900047","GO:BP","negative regulation of hemostasis","26396","23382","c(""GO:0007599"", ""GO:0048519"", ""GO:1900046"")"
"13","query_1","TRUE","3.7742600268641e-05","45","4","3","0.75","0.0666666666666667","GO:0050819","GO:BP","negative regulation of coagulation","26396","15410","c(""GO:0050817"", ""GO:0050818"", ""GO:0051241"")"
"14","query_1","TRUE","3.7742600268641e-05","46","4","3","0.75","0.0652173913043478","GO:1902041","GO:BP","regulation of extrinsic apoptotic signaling pathway via death domain receptors","26396","25286","c(""GO:0008625"", ""GO:2001236"")"
"15","query_1","TRUE","4.09610884778337e-05","1341","53","17","0.320754716981132","0.0126771066368382","GO:0006952","GO:BP","defense response","26396","2904","GO:0006950"
"16","query_1","TRUE","4.84674806077428e-05","48","4","3","0.75","0.0625","GO:1904036","GO:BP","negative regulation of epithelial cell apoptotic process","26396","27037","c(""GO:0043066"", ""GO:1904019"", ""GO:1904035"")"
"17","query_1","TRUE","5.14334137776408e-05","47","4","3","0.75","0.0638297872340425","GO:0070527","GO:BP","platelet aggregation","26396","18988","c(""GO:0030168"", ""GO:0034109"")"
"18","query_1","TRUE","6.10516026090787e-05","49","4","3","0.75","0.0612244897959184","GO:2000351","GO:BP","regulation of endothelial cell apoptotic process","26396","29584","c(""GO:0072577"", ""GO:1904035"")"
"19","query_1","TRUE","6.80872200072623e-05","54","4","3","0.75","0.0555555555555556","GO:0034113","GO:BP","heterotypic cell-cell adhesion","26396","9722","GO:0098609"
"20","query_1","TRUE","7.56432482730477e-05","53","4","3","0.75","0.0566037735849057","GO:0072577","GO:BP","endothelial cell apoptotic process","26396","20453","GO:1904019"
"21","query_1","TRUE","9.69316740934211e-05","61","4","3","0.75","0.0491803278688525","GO:0030193","GO:BP","regulation of blood coagulation","26396","7770","c(""GO:0007596"", ""GO:0032101"", ""GO:0050818"", ""GO:0061041"", ""GO:1900046"")"
"22","query_1","TRUE","0.000101619023621949","62","4","3","0.75","0.0483870967741935","GO:1900046","GO:BP","regulation of hemostasis","26396","23381","c(""GO:0007599"", ""GO:0050789"", ""GO:0050878"")"
"23","query_1","TRUE","0.000106454994229712","58","4","3","0.75","0.0517241379310345","GO:0031638","GO:BP","zymogen activation","26396","8442","GO:0016485"
"24","query_1","TRUE","0.000111441899511649","64","4","3","0.75","0.046875","GO:0050818","GO:BP","regulation of coagulation","26396","15409","c(""GO:0050817"", ""GO:0051239"")"
"25","query_1","TRUE","0.000116582052797795","64","4","3","0.75","0.046875","GO:0061045","GO:BP","negative regulation of wound healing","26396","17858","c(""GO:0032102"", ""GO:0042060"", ""GO:0061041"", ""GO:1903035"")"
"26","query_1","TRUE","0.000122911115002461","811","79","15","0.189873417721519","0.0184956843403206","GO:0032101","GO:BP","regulation of response to external stimulus","26396","8579","c(""GO:0009605"", ""GO:0048583"")"
"27","query_1","TRUE","0.000157048334011399","69","4","3","0.75","0.0434782608695652","GO:0019229","GO:BP","regulation of vasoconstriction","26396","6512","c(""GO:0042310"", ""GO:0097746"", ""GO:1903522"")"
"28","query_1","TRUE","0.000157048334011399","70","4","3","0.75","0.0428571428571429","GO:0034109","GO:BP","homotypic cell-cell adhesion","26396","9718","GO:0098609"
"29","query_1","TRUE","0.000163497719423802","75","4","3","0.75","0.04","GO:0008625","GO:BP","extrinsic apoptotic signaling pathway via death domain receptors","26396","3657","GO:0097191"
"30","query_1","TRUE","0.000166914309205531","2423","81","27","0.333333333333333","0.011143210895584","GO:0009605","GO:BP","response to external stimulus","26396","3997","GO:0050896"
"31","query_1","TRUE","0.000184518877389854","4","4","2","0.5","0.5","GO:0043152","GO:BP","induction of bacterial agglutination","26396","12226","GO:0019731"
"32","query_1","TRUE","0.000221552884483248","79","4","3","0.75","0.0379746835443038","GO:1903035","GO:BP","negative regulation of response to wounding","26396","26144","c(""GO:0009611"", ""GO:0048585"", ""GO:1903034"")"
"33","query_1","TRUE","0.000255127381920293","79","4","3","0.75","0.0379746835443038","GO:0030168","GO:BP","platelet activation","26396","7759","c(""GO:0001775"", ""GO:0007596"")"
"34","query_1","TRUE","0.000311588265139902","87","4","3","0.75","0.0344827586206897","GO:1904035","GO:BP","regulation of epithelial cell apoptotic process","26396","27036","c(""GO:0042981"", ""GO:1904019"")"
"35","query_1","TRUE","0.000321739585328471","91","4","3","0.75","0.032967032967033","GO:2001237","GO:BP","negative regulation of extrinsic apoptotic signaling pathway","26396","30412","c(""GO:0097191"", ""GO:2001234"", ""GO:2001236"")"
"36","query_1","TRUE","0.000342698272434181","90","4","3","0.75","0.0333333333333333","GO:0042310","GO:BP","vasoconstriction","26396","11707","GO:0097746"
"37","query_1","TRUE","0.000364547058171982","88","4","3","0.75","0.0340909090909091","GO:0045921","GO:BP","positive regulation of exocytosis","26396","13691","c(""GO:0006887"", ""GO:0017157"", ""GO:1903532"")"
"38","query_1","TRUE","0.000535108730370223","1325","76","19","0.25","0.0143396226415094","GO:0006955","GO:BP","immune response","26396","2907","c(""GO:0002376"", ""GO:0050896"")"
"39","query_1","TRUE","0.000685744484787439","112","4","3","0.75","0.0267857142857143","GO:0090277","GO:BP","positive regulation of peptide hormone secretion","26396","21402","c(""GO:0002793"", ""GO:0030072"", ""GO:0046887"", ""GO:0090276"")"
"40","query_1","TRUE","0.000685744484787439","114","4","3","0.75","0.0263157894736842","GO:1904019","GO:BP","epithelial cell apoptotic process","26396","27020","GO:0006915"
"41","query_1","TRUE","0.000737964610029305","119","4","3","0.75","0.0252100840336134","GO:0061041","GO:BP","regulation of wound healing","26396","17854","c(""GO:0042060"", ""GO:1903034"")"
"42","query_1","TRUE","0.00108448521927752","129","4","3","0.75","0.0232558139534884","GO:0035296","GO:BP","regulation of tube diameter","26396","10333","GO:0035150"
"43","query_1","TRUE","0.00108448521927752","129","4","3","0.75","0.0232558139534884","GO:0097746","GO:BP","blood vessel diameter maintenance","26396","22063","c(""GO:0003018"", ""GO:0008015"", ""GO:0035296"")"
"44","query_1","TRUE","0.00110769258565099","130","4","3","0.75","0.0230769230769231","GO:0035150","GO:BP","regulation of tube size","26396","10221","GO:0090066"
"45","query_1","TRUE","0.00127946454319779","143","4","3","0.75","0.020979020979021","GO:0050714","GO:BP","positive regulation of protein secretion","26396","15343","c(""GO:0002793"", ""GO:0009306"", ""GO:0050708"", ""GO:0051222"", ""GO:1903532"")"
"46","query_1","TRUE","0.00138514480401144","145","4","3","0.75","0.0206896551724138","GO:0051592","GO:BP","response to calcium ion","26396","16021","GO:0010038"
"47","query_1","TRUE","0.00146810866473745","150","4","3","0.75","0.02","GO:2001236","GO:BP","regulation of extrinsic apoptotic signaling pathway","26396","30411","c(""GO:0097191"", ""GO:2001233"")"
"48","query_1","TRUE","0.00158378290653739","147","4","3","0.75","0.0204081632653061","GO:0046887","GO:BP","positive regulation of hormone secretion","26396","14488","c(""GO:0010647"", ""GO:0023056"", ""GO:0046879"", ""GO:0046883"", ""GO:1903532"")"
"49","query_1","TRUE","0.00167441051743144","153","4","3","0.75","0.0196078431372549","GO:1903034","GO:BP","regulation of response to wounding","26396","26143","c(""GO:0009611"", ""GO:0080134"")"
"50","query_1","TRUE","0.00189915503240349","153","4","3","0.75","0.0196078431372549","GO:0007596","GO:BP","blood coagulation","26396","3477","c(""GO:0007599"", ""GO:0042060"", ""GO:0050817"")"
"51","query_1","TRUE","0.00196686495020717","155","4","3","0.75","0.0193548387096774","GO:0007599","GO:BP","hemostasis","26396","3480","GO:0050878"
"52","query_1","TRUE","0.00197229808487503","265","8","4","0.5","0.0150943396226415","GO:0046883","GO:BP","regulation of hormone secretion","26396","14484","c(""GO:0010646"", ""GO:0010817"", ""GO:0023051"", ""GO:0046879"", ""GO:1903530"")"
"53","query_1","TRUE","0.00200131420454844","155","4","3","0.75","0.0193548387096774","GO:0050817","GO:BP","coagulation","26396","15408","GO:0032501"
"54","query_1","TRUE","0.00236814204259919","170","4","3","0.75","0.0176470588235294","GO:0002793","GO:BP","positive regulation of peptide secretion","26396","1441","c(""GO:0002790"", ""GO:0002791"", ""GO:0051047"", ""GO:1903793"")"
"55","query_1","TRUE","0.00287134576277297","539","10","5","0.5","0.00927643784786642","GO:0044057","GO:BP","regulation of system process","26396","12655","c(""GO:0003008"", ""GO:0051239"")"
