"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"1","query_1","TRUE","5.91757992657135e-36","1043","11312","667","0.0589639321074965","0.639501438159156","CORUM:0000000","CORUM","CORUM root","26111","1","character(0)"
"2","query_1","TRUE","6.36353955549382e-11","46","9902","40","0.00403958796202787","0.869565217391304","CORUM:3047","CORUM","Parvulin-associated pre-rRNP complex","26111","332","CORUM:0000000"
"3","query_1","TRUE","2.36677254905646e-05","14","10533","14","0.00132915598594892","1","CORUM:38","CORUM","20S proteasome","26111","7","CORUM:0000000"
"4","query_1","TRUE","0.000442769051425899","13","12303","13","0.00105665284889864","1","CORUM:39","CORUM","Immunoproteasome","26111","8","CORUM:0000000"
"5","query_1","TRUE","0.00135433657177196","10","8001","9","0.00112485939257593","0.9","CORUM:1001","CORUM","DNA synthesome complex","26111","141","CORUM:0000000"
"6","query_1","TRUE","0.00222285898990469","8","9403","8","0.000850792300329682","1","CORUM:3072","CORUM","CCT complex (chaperonin containing TCP1 complex), testis specific","26111","336","CORUM:0000000"
"7","query_1","TRUE","0.00617555460541421","7","9403","7","0.000744443262788472","1","CORUM:51","CORUM","CCT complex (chaperonin containing TCP1 complex)","26111","12","CORUM:0000000"
"8","query_1","TRUE","0.00617555460541421","7","9403","7","0.000744443262788472","1","CORUM:52","CORUM","CCT complex (chaperonin containing TCP1 complex)","26111","13","CORUM:0000000"
"9","query_1","TRUE","0.00617555460541421","7","9403","7","0.000744443262788472","1","CORUM:132","CORUM","CCT complex (chaperonin containing TCP1 complex)","26111","24","CORUM:0000000"
"10","query_1","TRUE","0.0141732886583235","1","47","1","0.0212765957446809","1","CORUM:6829","CORUM","Klotho-Kdr-Trpc1 complex","26111","599","CORUM:0000000"
"11","query_1","TRUE","0.0144069245518316","11","9020","9","0.000997782705099778","0.818181818181818","CORUM:538","CORUM","Cytochrome c oxidase, mitochondrial","26111","91","CORUM:0000000"
"12","query_1","TRUE","0.0218024396901346","10","8459","8","0.000945738266934626","0.8","CORUM:582","CORUM","Ikaros complex","26111","98","CORUM:0000000"
"13","query_1","TRUE","0.0222365214070739","3","810","2","0.00246913580246914","0.666666666666667","CORUM:5302","CORUM","Rab3a-Rims2-Rapgef4 complex","26111","412","CORUM:0000000"
"14","query_1","TRUE","0.0264966087967138","4","6290","4","0.000635930047694754","1","CORUM:694","CORUM","Bad-Gk-Wave1-Pkaca-Ppp1cc complex","26111","109","CORUM:0000000"
