"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"1","query_1","TRUE","1.56874303362847e-29","1024","10453","600","0.057399789534105","0.5859375","CORUM:0000000","CORUM","CORUM root","26396","1","character(0)"
"2","query_1","TRUE","2.35631138586252e-09","46","10329","39","0.00377577693871624","0.847826086956522","CORUM:3047","CORUM","Parvulin-associated pre-rRNP complex","26396","332","CORUM:0000000"
"3","query_1","TRUE","0.000375708112086197","14","10168","13","0.00127852084972463","0.928571428571429","CORUM:38","CORUM","20S proteasome","26396","7","CORUM:0000000"
"4","query_1","TRUE","0.00122112832129556","8","8539","8","0.000936877854549713","1","CORUM:3072","CORUM","CCT complex (chaperonin containing TCP1 complex), testis specific","26396","336","CORUM:0000000"
"5","query_1","TRUE","0.00377688177105819","7","8539","7","0.000819768122730999","1","CORUM:51","CORUM","CCT complex (chaperonin containing TCP1 complex)","26396","12","CORUM:0000000"
"6","query_1","TRUE","0.00377688177105819","7","8539","7","0.000819768122730999","1","CORUM:52","CORUM","CCT complex (chaperonin containing TCP1 complex)","26396","13","CORUM:0000000"
"7","query_1","TRUE","0.00377688177105819","7","8539","7","0.000819768122730999","1","CORUM:132","CORUM","CCT complex (chaperonin containing TCP1 complex)","26396","24","CORUM:0000000"
"8","query_1","TRUE","0.00635408122154005","13","12064","12","0.000994694960212202","0.923076923076923","CORUM:39","CORUM","Immunoproteasome","26396","8","CORUM:0000000"
"9","query_1","TRUE","0.00870838102954167","5","6425","5","0.000778210116731518","1","CORUM:6633","CORUM","Rbx1- Cul1-Skp1-Fbxw8-Cul7-Rbx1","26396","564","CORUM:0000000"
"10","query_1","TRUE","0.0115489653637674","6","4914","5","0.00101750101750102","0.833333333333333","CORUM:122","CORUM","MCM complex","26396","20","CORUM:0000000"
"11","query_1","TRUE","0.0127295392124514","7","10157","7","0.000689179875947622","1","CORUM:40","CORUM","COP9 signalosome complex (Gps1, Cops1, Cops2, Cops3, Cops4, Cops5, Cops6, Cops7a, Cops8)","26396","9","CORUM:0000000"
