statistic	KO_1_NonTreatment	KO_2_NonTreatment	KO_3_NonTreatment	KO_4_CytokineTreatment	KO_5_CytokineTreatment	KO_6_CytokineTreatment	WT_1_NonTreatment	WT_2_NonTreatment	WT_3_NonTreatment	WT_4_CytokineTreatment	WT_5_CytokineTreatment	WT_6_CytokineTreatment
Started job on	Jan 20 10:14:39	Jan 20 10:14:37	Jan 19 19:08:29	Jan 19 19:08:29	Jan 19 19:08:29	Jan 19 19:08:31	Jan 19 19:08:36	Jan 19 19:08:29	Jan 19 19:08:32	Jan 19 19:08:29	Jan 19 19:08:31	Jan 20 10:14:38
Started mapping on	Jan 20 10:17:00	Jan 20 10:16:59	Jan 19 19:10:43	Jan 19 19:10:19	Jan 19 19:10:48	Jan 19 19:11:45	Jan 19 19:11:28	Jan 19 19:10:45	Jan 19 19:12:06	Jan 19 19:10:40	Jan 19 19:10:33	Jan 20 10:17:20
Finished on	Jan 20 10:56:58	Jan 20 10:52:20	Jan 19 19:40:44	Jan 19 19:29:23	Jan 19 19:42:22	Jan 19 19:42:23	Jan 19 19:52:03	Jan 19 19:41:11	Jan 19 20:10:10	Jan 19 19:47:54	Jan 19 19:59:15	Jan 20 10:56:34
Mapping speed, Million of reads per hour	106.24	126.22	138.34	174.00	128.39	112.76	105.45	127.51	93.88	124.97	157.05	95.43
Number of input reads	70764559	74365761	69208874	55293782	67549895	57570319	71327578	64675764	90857759	77549132	127475538	62398759
Average input read length	262	263	264	265	264	262	265	263	264	265	260	264
Uniquely mapped reads number	65467803	69069677	64416664	50709342	62115265	52725734	65987604	59760059	84139742	71596012	117230381	57523913
Uniquely mapped reads %	92.51%	92.88%	93.08%	91.71%	91.95%	91.58%	92.51%	92.40%	92.61%	92.32%	91.96%	92.19%
Average mapped length	260.73	261.66	262.43	263.90	262.92	260.29	263.98	261.19	262.16	263.91	259.07	262.18
Number of splices: Total	66605044	68517831	65361420	55084807	67238141	55705254	67559658	58778329	85824015	78544525	125056509	61062050
Number of splices: Annotated (sjdb)	66039976	67895329	64771182	54607945	66681636	55238113	66979934	58253349	85083614	77834589	123897157	60510905
Number of splices: GT/AG	65997197	67874109	64738167	54512226	66550115	55139354	66933939	58229713	85030365	77739263	123784544	60443821
Number of splices: GC/AG	469183	475500	457135	437936	531363	435080	463475	404802	589949	598566	966215	471816
Number of splices: AT/AC	51858	53210	52862	42435	49906	41799	52209	45967	66065	58858	93057	46091
Number of splices: Non-canonical	86806	115012	113256	92210	106757	89021	110035	97847	137636	147838	212693	100322
Mismatch rate per base, %	0.35%	0.33%	0.32%	0.34%	0.33%	0.34%	0.33%	0.33%	0.33%	0.35%	0.34%	0.33%
Deletion rate per base	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%
Deletion average length	1.64	1.63	1.59	1.68	1.59	1.69	1.65	1.61	1.61	1.68	1.65	1.64
Insertion rate per base	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%
Insertion average length	1.58	1.62	1.48	1.59	1.54	1.72	1.57	1.64	1.55	1.62	1.59	1.55
Number of reads mapped to multiple loci	2338300	2611593	2515805	2365531	2976777	2528285	2771790	2512314	3511275	3299204	5511863	2531537
% of reads mapped to multiple loci	3.30%	3.51%	3.64%	4.28%	4.41%	4.39%	3.89%	3.88%	3.86%	4.25%	4.32%	4.06%
Number of reads mapped to too many loci	164778	147370	147519	145633	232617	174557	154531	152306	207364	217044	355046	179768
% of reads mapped to too many loci	0.23%	0.20%	0.21%	0.26%	0.34%	0.30%	0.22%	0.24%	0.23%	0.28%	0.28%	0.29%
% of reads unmapped: too many mismatches	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
% of reads unmapped: too short	3.86%	3.34%	3.00%	3.67%	3.22%	3.66%	3.31%	3.40%	3.23%	3.09%	3.37%	3.40%
% of reads unmapped: other	0.09%	0.07%	0.08%	0.07%	0.08%	0.06%	0.08%	0.08%	0.07%	0.06%	0.07%	0.07%
Number of chimeric reads	0	0	0	0	0	0	0	0	0	0	0	0
% of chimeric reads	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
